t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
36.400,map,6.8592,10.5708,-0.1479,6.8693,10.5540,-0.1524
36.500,map,6.9040,10.5642,-0.1473,6.9138,10.5472,-0.1519
36.600,map,6.9484,10.5576,-0.1468,6.9583,10.5404,-0.1514
36.700,map,6.9927,10.5511,-0.1463,7.0028,10.5336,-0.1511
36.800,map,7.0369,10.5446,-0.1463,7.0473,10.5268,-0.1508
36.900,map,7.0814,10.5380,-0.1459,7.0918,10.5201,-0.1506
37.000,map,7.1262,10.5315,-0.1452,7.1363,10.5133,-0.1503
37.100,map,7.1706,10.5250,-0.1451,7.1808,10.5066,-0.1502
37.200,map,7.2149,10.5185,-0.1451,7.2253,10.4999,-0.1501
37.300,map,7.2594,10.5120,-0.1450,7.2697,10.4932,-0.1500
37.400,map,7.3039,10.5055,-0.1450,7.3142,10.4864,-0.1499
37.500,map,7.3493,10.4990,-0.1451,7.3587,10.4797,-0.1498
37.600,map,7.4030,10.4925,-0.1449,7.4032,10.4730,-0.1498
37.700,map,7.4476,10.4860,-0.1449,7.4477,10.4663,-0.1498
37.800,map,7.4921,10.4795,-0.1450,7.4922,10.4596,-0.1498
37.900,map,7.5371,10.4729,-0.1451,7.5367,10.4529,-0.1498
